NEWID,UCC,AMOUNT,IMPNUM,PUB_FLAG,AMOUNT_
05689892,900030,54524,3,1,NA
05689892,900030,58916,4,1,NA
05689892,900030,81944,5,1,NA
05689892,980000,53468,1,1,NA
05689892,980000,56096,2,1,NA
05689892,980000,54524,3,1,NA
05689892,980000,58916,4,1,NA
05689892,980000,81944,5,1,NA
05689901,900030,1675,1,1,NA
05689901,900030,1675,2,1,NA
05689901,900030,1675,3,1,NA
05689901,900030,1675,4,1,NA
05689901,900030,1675,5,1,NA
05689901,980000,1675,1,1,NA
05689901,980000,1675,2,1,NA
05689901,980000,1675,3,1,NA
05689901,980000,1675,4,1,NA
05689901,980000,1675,5,1,NA
05689902,900030,1675,1,1,NA
05689902,900030,1675,2,1,NA
05689902,900030,1675,3,1,NA
05689902,900030,1675,4,1,NA
05689902,900030,1675,5,1,NA
05689902,980000,1675,1,1,NA
05689902,980000,1675,2,1,NA
05689902,980000,1675,3,1,NA
05689902,980000,1675,4,1,NA
05689902,980000,1675,5,1,NA
05689911,900170,60000,1,1,NA
05689911,900170,60000,2,1,NA
05689911,900170,60000,3,1,NA
05689911,900170,60000,4,1,NA
05689911,900170,60000,5,1,NA
05689911,980000,60000,1,1,NA
05689911,980000,60000,2,1,NA
05689911,980000,60000,3,1,NA
05689911,980000,60000,4,1,NA
05689911,980000,60000,5,1,NA
05689912,900170,60000,1,1,NA
05689912,900170,60000,2,1,NA
05689912,900170,60000,3,1,NA
05689912,900170,60000,4,1,NA
05689912,900170,60000,5,1,NA
05689912,980000,60000,1,1,NA
05689912,980000,60000,2,1,NA
05689912,980000,60000,3,1,NA
05689912,980000,60000,4,1,NA
05689912,980000,60000,5,1,NA
05689921,800940,17651,1,1,T
05689921,800940,17651,2,1,T
05689921,800940,17651,3,1,T
05689921,800940,17651,4,1,T
05689921,800940,17651,5,1,T
05689921,900000,240000,1,1,NA
05689921,900000,240000,2,1,NA
05689921,900000,240000,3,1,NA
05689921,900000,240000,4,1,NA
05689921,900000,240000,5,1,NA
05689921,900160,149584,1,1,T
05689921,900160,149584,2,1,T
05689921,900160,149584,3,1,T
05689921,900160,149584,4,1,T
05689921,900160,149584,5,1,T
05689921,980000,389584,1,1,T
05689921,980000,389584,2,1,T
05689921,980000,389584,3,1,T
05689921,980000,389584,4,1,T
05689921,980000,389584,5,1,T
05689922,800940,17651,1,1,T
05689922,800940,17651,2,1,T
05689922,800940,17651,3,1,T
05689922,800940,17651,4,1,T
05689922,800940,17651,5,1,T
05689922,900000,240000,1,1,NA
05689922,900000,240000,2,1,NA
05689922,900000,240000,3,1,NA
05689922,900000,240000,4,1,NA
05689922,900000,240000,5,1,NA
05689922,900160,149584,1,1,T
05689922,900160,149584,2,1,T
05689922,900160,149584,3,1,T
05689922,900160,149584,4,1,T
05689922,900160,149584,5,1,T
05689922,980000,389584,1,1,T
05689922,980000,389584,2,1,T
05689922,980000,389584,3,1,T
05689922,980000,389584,4,1,T
05689922,980000,389584,5,1,T
05690011,800940,17651,1,1,T
05690011,800940,17651,2,1,T
05690011,800940,17651,3,1,T
05690011,800940,17651,4,1,T
05690011,800940,17651,5,1,T
05690011,900000,57728,1,1,NA
05690011,900000,51901,2,1,NA
05690011,900000,62421,3,1,NA
05690011,900000,67626,4,1,NA
05690011,900000,54273,5,1,NA
05690011,900160,12380,1,1,NA
05690011,900160,3,2,1,NA
05690011,900160,72933,3,1,NA
05690011,900160,6048,4,1,NA
05690011,900160,10727,5,1,NA
05690011,980000,70108,1,1,NA
05690011,980000,51904,2,1,NA
05690011,980000,135354,3,1,NA
05690011,980000,73674,4,1,NA
05690011,980000,65000,5,1,NA
05690012,800940,17651,1,1,T
05690012,800940,17651,2,1,T
05690012,800940,17651,3,1,T
05690012,800940,17651,4,1,T
05690012,800940,17651,5,1,T
05690012,900000,53189,1,1,NA
05690012,900000,56536,2,1,NA
05690012,900000,55909,3,1,NA
05690012,900000,58543,4,1,NA
