NEWID,UCC,AMOUNT,AMOUNT_,PUB_FLAG
05689761,980010,1,NA,1
05689761,980020,65,NA,1
05689761,980030,1,NA,1
05689761,980040,1,NA,1
05689761,980060,1,NA,1
05689761,980090,100,NA,1
05689761,980220,100,NA,1
05689761,980240,100,NA,1
05689761,980281,100,NA,1
05689761,980286,100,NA,1
05689761,980310,100,NA,1
05689761,980330,100,NA,1
05689762,800910,4278,NA,1
05689762,800932,150,NA,1
05689762,900000,55000,NA,1
05689762,980000,55000,NA,1
05689762,980010,1,NA,1
05689762,980020,65,NA,1
05689762,980030,1,NA,1
05689762,980040,1,NA,1
05689762,980060,1,NA,1
05689762,980090,100,NA,1
05689762,980220,100,NA,1
05689762,980240,100,NA,1
05689762,980281,100,NA,1
05689762,980286,100,NA,1
05689762,980310,100,NA,1
05689762,980330,100,NA,1
05689771,800910,4267,NA,1
05689771,900000,117859,NA,1
05689771,900030,15800,NA,1
05689771,980000,133659,NA,1
05689771,980010,3,NA,1
05689771,980020,69,NA,1
05689771,980030,3,NA,1
05689771,980040,3,NA,1
05689771,980060,2,NA,1
05689771,980090,100,NA,1
05689771,980220,100,NA,1
05689771,980240,100,NA,1
05689771,980281,100,NA,1
05689771,980286,100,NA,1
05689771,980310,100,NA,1
05689771,980330,100,NA,1
05689772,800910,4267,NA,1
05689772,900000,128596,NA,1
05689772,900030,15800,NA,1
05689772,980000,144396,NA,1
05689772,980010,3,NA,1
05689772,980020,69,NA,1
05689772,980030,3,NA,1
05689772,980040,3,NA,1
05689772,980060,2,NA,1
05689772,980090,100,NA,1
05689772,980220,100,NA,1
05689772,980240,100,NA,1
05689772,980281,100,NA,1
05689772,980286,100,NA,1
05689772,980310,100,NA,1
05689772,980330,100,NA,1
05689821,900030,37612,NA,1
05689821,900170,11900,NA,1
05689821,900180,5,NA,1
05689821,980000,49517,NA,1
05689821,980010,2,NA,1
05689821,980020,88,T,1
05689821,980040,1,NA,1
05689821,980060,2,NA,1
05689821,980090,100,NA,1
05689821,980210,100,NA,1
05689821,980240,100,NA,1
05689821,980281,100,NA,1
05689821,980286,100,NA,1
05689821,980300,100,NA,1
05689821,980330,100,NA,1
05689822,900030,37612,NA,1
05689822,900170,11900,NA,1
05689822,900180,5,NA,1
05689822,980000,49517,NA,1
05689822,980010,2,NA,1
05689822,980020,88,T,1
05689822,980040,1,NA,1
05689822,980060,2,NA,1
05689822,980090,100,NA,1
05689822,980210,100,NA,1
05689822,980240,100,NA,1
05689822,980281,100,NA,1
05689822,980286,100,NA,1
05689822,980300,100,NA,1
05689822,980330,100,NA,1
05689831,800940,4131,NA,1
05689831,900000,48000,NA,1
05689831,900160,3000,NA,1
05689831,900180,4,NA,1
05689831,980000,51004,NA,1
05689831,980010,1,NA,1
05689831,980020,23,NA,1
05689831,980030,1,NA,1
05689831,980040,1,NA,1
05689831,980220,100,NA,1
05689831,980260,100,NA,1
05689831,980281,100,NA,1
05689831,980286,100,NA,1
05689831,980310,100,NA,1
05689831,980330,100,NA,1
05689832,800940,4131,NA,1
05689832,900000,48000,NA,1
05689832,900160,3000,NA,1
05689832,900180,4,NA,1
05689832,980000,51004,NA,1
05689832,980010,1,NA,1
05689832,980020,23,NA,1
05689832,980030,1,NA,1
05689832,980040,1,NA,1
05689832,980220,100,NA,1
05689832,980260,100,NA,1
05689832,980281,100,NA,1
05689832,980286,100,NA,1
05689832,980310,100,NA,1
05689832,980330,100,NA,1
05689851,800700,25,NA,1
05689851,900000,78000,NA,1
05689851,980000,78000,NA,1
05689851,980010,1,NA,1
05689851,980020,30,NA,1
05689851,980030,1,NA,1
05689851,980040,1,NA,1
05689851,980210,100,NA,1
05689851,980260,100,NA,1
05689851,980281,100,NA,1
05689851,980286,100,NA,1
05689851,980310,100,NA,1
05689851,980330,100,NA,1
05689852,800700,25,NA,1
05689852,900000,78000,NA,1
05689852,980000,78000,NA,1
05689852,980010,1,NA,1
05689852,980020,30,NA,1
05689852,980030,1,NA,1
05689852,980040,1,NA,1
05689852,980210,100,NA,1
05689852,980260,100,NA,1
05689852,980281,100,NA,1
05689852,980286,100,NA,1
05689852,980310,100,NA,1
05689852,980330,100,NA,1
05689871,900030,64192,NA,1
05689871,900170,97463,T,1
05689871,980000,161655,T,1
05689871,980010,2,NA,1
05689871,980020,81,NA,1
05689871,980040,2,NA,1
05689871,980060,2,NA,1
05689871,980090,100,NA,1
05689871,980210,100,NA,1
05689871,980240,100,NA,1
05689871,980281,100,NA,1
05689871,980286,100,NA,1
05689871,980310,100,NA,1
05689871,980330,100,NA,1
05689872,900030,64192,NA,1
05689872,900170,97463,T,1
05689872,980000,161655,T,1
05689872,980010,2,NA,1
05689872,980020,81,NA,1
05689872,980040,2,NA,1
05689872,980060,2,NA,1
05689872,980090,100,NA,1
05689872,980210,100,NA,1
05689872,980240,100,NA,1
05689872,980281,100,NA,1
05689872,980286,100,NA,1
05689872,980310,100,NA,1
05689872,980330,100,NA,1
05689891,900030,65905,NA,1
05689891,980000,65905,NA,1
05689891,980010,2,NA,1
05689891,980020,88,T,1
05689891,980040,2,NA,1
05689891,980060,2,NA,1
05689891,980090,100,NA,1
05689891,980220,100,NA,1
05689891,980240,100,NA,1
05689891,980281,100,NA,1
05689891,980286,100,NA,1
05689891,980300,100,NA,1
05689891,980330,100,NA,1
05689892,900030,60990,NA,1
05689892,980000,60990,NA,1
05689892,980010,2,NA,1
05689892,980020,88,T,1
05689892,980040,2,NA,1
05689892,980060,2,NA,1
05689892,980090,100,NA,1
05689892,980220,100,NA,1
05689892,980240,100,NA,1
05689892,980281,100,NA,1
05689892,980286,100,NA,1
05689892,980300,100,NA,1
05689892,980330,100,NA,1
05689901,900030,1675,NA,1
05689901,980000,1675,NA,1
05689901,980010,1,NA,1
05689901,980020,62,NA,1
05689901,980040,1,NA,1
05689901,980090,100,NA,1
05689901,980220,100,NA,1
05689901,980240,100,NA,1
05689901,980281,100,NA,1
05689901,980286,100,NA,1
05689901,980310,100,NA,1
05689901,980330,100,NA,1
05689902,900030,1675,NA,1
05689902,980000,1675,NA,1
05689902,980010,1,NA,1
05689902,980020,62,NA,1
05689902,980040,1,NA,1
05689902,980090,100,NA,1
05689902,980220,100,NA,1
05689902,980240,100,NA,1
05689902,980281,100,NA,1
05689902,980286,100,NA,1
05689902,980310,100,NA,1
05689902,980330,100,NA,1
05689911,900170,60000,NA,1
05689911,980000,60000,NA,1
05689911,980010,1,NA,1
05689911,980020,52,NA,1
05689911,980040,4,NA,1
05689911,980090,100,NA,1
05689911,980210,100,NA,1
05689911,980230,100,NA,1
05689911,980281,100,NA,1
05689911,980286,100,NA,1
05689911,980310,100,NA,1
05689911,980330,100,NA,1
05689912,900170,60000,NA,1
05689912,980000,60000,NA,1
05689912,980010,1,NA,1
05689912,980020,52,NA,1
05689912,980040,4,NA,1
05689912,980090,100,NA,1
05689912,980210,100,NA,1
05689912,980230,100,NA,1
05689912,980281,100,NA,1
05689912,980286,100,NA,1
05689912,980310,100,NA,1
05689912,980330,100,NA,1
05689921,800932,3200,NA,1
05689921,800940,17651,T,1
05689921,900000,240000,NA,1
05689921,900160,149584,T,1
05689921,980000,389584,T,1
05689921,980010,4,NA,1
05689921,980020,35,NA,1
05689921,980030,2,NA,1
05689921,980040,2,NA,1
05689921,980050,2,NA,1
05689921,980090,100,NA,1
05689921,980210,100,NA,1
05689921,980230,100,NA,1
05689921,980281,100,NA,1
05689921,980286,100,NA,1
05689921,980310,100,NA,1
05689921,980330,100,NA,1
05689922,800932,3200,NA,1
05689922,800940,17651,T,1
05689922,900000,240000,NA,1
05689922,900160,149584,T,1
05689922,980000,389584,T,1
05689922,980010,4,NA,1
05689922,980020,35,NA,1
05689922,980030,2,NA,1
05689922,980040,2,NA,1
05689922,980050,2,NA,1
05689922,980090,100,NA,1
05689922,980210,100,NA,1
05689922,980230,100,NA,1
05689922,980281,100,NA,1
05689922,980286,100,NA,1
05689922,980310,100,NA,1
05689922,980330,100,NA,1
05690011,800940,17651,T,1
05690011,900000,58790,NA,1
05690011,900160,20418,NA,1
05690011,980000,79208,NA,1
05690011,980010,9,NA,1
05690011,980020,36,NA,1
05690011,980030,1,NA,1
05690011,980040,2,NA,1
05690011,980050,7,NA,1
05690011,980090,100,NA,1
05690011,980210,100,NA,1
05690011,980230,100,NA,1
05690011,980281,100,NA,1
05690011,980286,100,NA,1
05690011,980290,100,NA,1
05690011,980330,100,NA,1
05690012,800940,17651,T,1
05690012,900000,56594,NA,1
05690012,900160,30451,NA,1
05690012,980000,87045,NA,1
05690012,980010,9,NA,1
05690012,980020,36,NA,1
05690012,980030,1,NA,1
05690012,980040,2,NA,1
05690012,980050,7,NA,1
05690012,980090,100,NA,1
05690012,980210,100,NA,1
05690012,980230,100,NA,1
05690012,980281,100,NA,1
05690012,980286,100,NA,1
05690012,980290,100,NA,1
05690012,980330,100,NA,1
05690041,900000,31000,NA,1
05690041,980000,31000,NA,1
05690041,980010,5,NA,1
05690041,980020,33,NA,1
05690041,980030,1,NA,1
05690041,980040,3,NA,1
05690041,980050,3,NA,1
05690041,980090,100,NA,1
05690041,980220,100,NA,1
05690041,980230,100,NA,1
05690041,980281,100,NA,1
05690041,980285,100,NA,1
05690041,980300,100,NA,1
05690041,980330,100,NA,1
05690042,900000,31000,NA,1
05690042,980000,31000,NA,1
05690042,980010,5,NA,1
05690042,980020,33,NA,1
05690042,980030,1,NA,1
05690042,980040,3,NA,1
05690042,980050,3,NA,1
05690042,980090,100,NA,1
05690042,980220,100,NA,1
05690042,980230,100,NA,1
05690042,980281,100,NA,1
05690042,980285,100,NA,1
05690042,980300,100,NA,1
05690042,980330,100,NA,1
05690051,800940,8033,NA,1
05690051,900000,80800,NA,1
05690051,900160,35000,NA,1
05690051,980000,115800,NA,1
05690051,980010,6,NA,1
05690051,980020,34,NA,1
05690051,980030,3,NA,1
05690051,980040,3,NA,1
05690051,980050,4,NA,1
05690051,980090,100,NA,1
05690051,980220,100,NA,1
05690051,980230,100,NA,1
05690051,980281,100,NA,1
05690051,980285,100,NA,1
05690051,980310,100,NA,1
05690051,980330,100,NA,1
05690052,800940,8033,NA,1
05690052,900000,80800,NA,1
05690052,900160,35000,NA,1
05690052,980000,115800,NA,1
05690052,980010,6,NA,1
05690052,980020,34,NA,1
05690052,980030,3,NA,1
05690052,980040,3,NA,1
05690052,980050,4,NA,1
05690052,980090,100,NA,1
05690052,980220,100,NA,1
05690052,980230,100,NA,1
05690052,980281,100,NA,1
05690052,980285,100,NA,1
05690052,980310,100,NA,1
05690052,980330,100,NA,1
05690071,800940,17651,T,1
05690071,900000,98000,NA,1
05690071,900160,25594,NA,1
05690071,900170,2000,NA,1
05690071,980000,125594,NA,1
05690071,980010,6,NA,1
05690071,980020,59,NA,1
05690071,980030,3,NA,1
05690071,980040,2,NA,1
05690071,980050,1,NA,1
05690071,980210,100,NA,1
05690071,980260,100,NA,1
05690071,980281,100,NA,1
05690071,980286,100,NA,1
05690071,980300,100,NA,1
05690071,980330,100,NA,1
05690072,800940,17651,T,1
05690072,900000,98000,NA,1
05690072,900160,30285,NA,1
05690072,900170,2000,NA,1
05690072,980000,130285,NA,1
05690072,980010,6,NA,1
05690072,980020,59,NA,1
05690072,980030,3,NA,1
05690072,980040,2,NA,1
05690072,980050,1,NA,1
05690072,980210,100,NA,1
05690072,980260,100,NA,1
05690072,980281,100,NA,1
05690072,980286,100,NA,1
05690072,980300,100,NA,1
05690072,980330,100,NA,1
